intersection_id,tollgate_id,time_window,avg_travel_time
C,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",201.068741793
C,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",193.849208929
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",82.5234976998
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",135.168299812
B,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",135.312187436
B,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",128.092654572
C,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",201.844053656
C,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",194.624520792
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",82.6861405014
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",135.330942614
B,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",135.474830237
B,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",128.255297374
C,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",202.006696457
C,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",194.787163593
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",85.4664435794
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",138.111245692
B,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",138.255133315
B,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",131.035600452
C,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",204.786999535
C,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",197.567466671
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",86.2417554423
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",138.886557555
B,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",139.030445178
B,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",131.810912314
C,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",205.562311398
C,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",198.342778534
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",86.4043982439
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",139.049200356
B,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",139.19308798
B,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",131.973555116
C,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",205.7249542
C,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",198.505421336
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",85.3444150927
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",137.989217205
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",138.133104829
B,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",130.913571965
C,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",197.445438185
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",86.1197269556
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",138.764529068
B,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",131.688883828
C,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",205.440282911
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",86.2823697572
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",138.92717187
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",139.071059493
B,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",131.851526629
C,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",205.602925713
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",90.7164951536
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",143.361297266
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",143.50518489
C,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",210.037051109
C,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",202.817518246
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",91.4918070165
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",144.136609129
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",144.280496753
B,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",137.060963889
C,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",203.592830109
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",91.6544498181
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",144.299251931
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",144.443139554
B,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",137.22360669
C,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",203.75547291
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",81.7257920162
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",134.370594129
B,1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",134.514481752
B,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",127.294948888
C,1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",201.046347972
C,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",193.826815108
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",82.5011038792
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",135.145905992
B,1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",135.289793615
B,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",128.070260751
C,1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",201.821659835
C,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",194.602126971
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",82.6637466808
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",135.308548793
B,1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",135.452436417
B,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",128.232903553
C,1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",201.984302637
C,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",194.764769773
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",85.4440497587
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",138.088851871
B,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",131.013206631
C,1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",204.764605715
C,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",197.545072851
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",86.2193616216
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",138.864163734
B,1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",139.008051358
B,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",131.788518494
C,1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",205.539917577
C,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",198.320384714
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",86.3820044232
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",139.026806536
B,1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",139.170694159
B,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",131.951161295
C,1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",205.702560379
C,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",198.483027515
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",85.2713553714
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",137.916157484
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",86.0466672343
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",138.691469347
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",138.83535697
B,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",131.615824107
C,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",205.36722319
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",86.209310036
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",138.854112149
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",138.997999772
B,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",131.778466908
C,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",198.310333128
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",90.6434354324
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",143.288237545
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",143.432125168
B,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",136.212592305
C,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",209.963991388
C,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",202.744458524
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",91.4187472953
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",144.063549408
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",144.207437031
B,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",136.987904168
C,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",203.519770387
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",91.5813900969
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",144.22619221
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",144.370079833
B,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",137.150546969
C,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",210.901946053
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",82.744188232
A,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",135.388990345
B,1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",135.532877968
B,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",128.313345104
C,1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",202.064744188
C,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",194.845211324
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",83.5195000949
A,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",136.164302208
B,1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",136.308189831
B,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",129.088656967
C,1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",202.840056051
C,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",195.620523187
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",83.6821428965
A,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",136.326945009
B,1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",136.470832633
B,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",129.251299769
C,1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",203.002698852
C,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",195.783165989
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",86.4624459745
A,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",139.107248087
B,1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",139.25113571
B,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",132.031602847
C,1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",205.78300193
C,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",198.563469067
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",87.2377578374
A,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",139.88255995
B,1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",140.026447573
B,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",132.80691471
C,1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",206.558313793
C,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",199.338780929
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",87.400400639
A,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",140.045202752
B,1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",140.189090375
B,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",132.969557511
C,1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",206.720956595
C,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",199.501423731
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",86.343913219
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",138.988715332
B,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",139.132602955
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",87.1192250819
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",139.764027194
B,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",139.907914818
C,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",206.439781038
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",87.2818678835
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",139.926669996
B,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",140.070557619
B,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",132.851024756
C,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",206.602423839
C,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",199.382890975
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",91.7159932799
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",144.360795393
B,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",144.504683016
B,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",137.285150152
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",92.4913051429
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",145.136107255
B,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",145.279994879
B,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",138.060462015
C,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",211.811861099
C,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",204.592328235
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",92.6539479445
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",145.298750057
B,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",145.44263768
B,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",138.223104817
C,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",211.9745039
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",89.0439588668
A,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",141.688760979
B,1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",141.832648603
B,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",134.613115739
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",89.8192707297
A,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",142.464072842
B,1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",142.607960466
B,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",135.388427602
C,1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",209.139826686
C,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",201.920293822
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",89.9819135313
A,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",142.626715644
B,1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",142.770603267
B,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",135.551070404
C,1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",209.302469487
C,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",202.082936623
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",92.7622166093
A,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",145.407018722
B,1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",145.550906345
B,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",138.331373481
C,1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",212.082772565
C,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",204.863239701
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",93.5375284722
A,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",146.182330585
B,1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",146.326218208
B,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",139.106685344
C,1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",212.858084428
C,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",205.638551564
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",93.7001712738
A,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",146.344973386
B,1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",146.48886101
B,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",139.269328146
C,1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",213.02072723
C,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",205.801194366
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",134.102040328
B,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",134.245927951
C,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",200.777794171
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",82.232550078
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",134.877352191
B,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",135.021239814
B,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",127.80170695
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",82.3951928796
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",135.039994992
B,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",135.183882616
C,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",201.715748835
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",86.8293182761
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",139.474120389
B,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",139.618008012
B,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",132.398475148
C,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",206.149874232
C,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",198.930341368
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",87.604630139
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",140.249432252
B,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",133.173787011
C,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",206.925186095
C,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",199.705653231
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",87.7672729406
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",140.412075053
B,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",140.555962677
B,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",133.336429813
C,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",207.087828896
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",80.543396172
A,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",133.188198285
B,1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",133.332085908
B,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",126.112553044
C,1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",199.863952128
C,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",192.644419264
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",81.3187080349
A,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",133.963510148
B,1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",134.107397771
B,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",126.887864907
